지점,지점명,일시,월합강수량(00~24h만)(mm)
90,속초,1984-10,6.7
90,속초,1984-11,73
90,속초,1984-12,42.9
90,속초,1985-01,1.6
90,속초,1985-02,38.7
90,속초,1985-03,42.6
90,속초,1985-04,62.5
90,속초,1985-05,162
90,속초,1985-06,54.3
90,속초,1985-07,60.3
90,속초,1985-08,293.7
90,속초,1985-09,180.7
90,속초,1985-10,216.7
90,속초,1985-11,39.2
90,속초,1985-12,31.8
90,속초,1986-01,58.3
90,속초,1986-02,25.4
90,속초,1986-03,28.6
90,속초,1986-04,60.4
90,속초,1986-05,23.1
90,속초,1986-06,110.5
90,속초,1986-07,180.7
90,속초,1986-08,474.6
90,속초,1986-09,188
90,속초,1986-10,169.2
90,속초,1986-11,10.8
90,속초,1986-12,49
90,속초,1987-01,14.4
90,속초,1987-02,95
90,속초,1987-03,63.5
90,속초,1987-04,48.5
90,속초,1987-05,95.3
90,속초,1987-06,123.9
90,속초,1987-07,207.3
90,속초,1987-08,383.8
90,속초,1987-09,55.9
90,속초,1987-10,63.5
90,속초,1987-11,130.9
90,속초,1987-12,8.9
90,속초,1988-01,4.5
90,속초,1988-02,52.7
90,속초,1988-03,38
90,속초,1988-04,14.7
90,속초,1988-05,50.9
90,속초,1988-06,75.6
90,속초,1988-07,202.1
90,속초,1988-08,84.2
90,속초,1988-09,308.5
90,속초,1988-10,56.2
90,속초,1988-11,39.8
90,속초,1988-12,.7
90,속초,1989-01,165.9
90,속초,1989-02,65.3
90,속초,1989-03,121.7
90,속초,1989-04,6.2
90,속초,1989-05,66.8
90,속초,1989-06,109.9
90,속초,1989-07,221.2
90,속초,1989-08,277.7
90,속초,1989-09,156.4
90,속초,1989-10,163
90,속초,1989-11,123
90,속초,1989-12,103
90,속초,1990-01,81.9
90,속초,1990-02,170.6
90,속초,1990-03,86.8
90,속초,1990-04,120.4
90,속초,1990-05,79.8
90,속초,1990-06,236.6
90,속초,1990-07,262.8
90,속초,1990-08,110.5
90,속초,1990-09,596.4
90,속초,1990-10,90.6
90,속초,1990-11,143.6
90,속초,1990-12,31.7
90,속초,1991-01,18.2
90,속초,1991-02,25.3
90,속초,1991-03,48.6
90,속초,1991-04,36.7
90,속초,1991-05,77.5
90,속초,1991-06,15.2
90,속초,1991-07,250.7
90,속초,1991-08,148.2
90,속초,1991-09,129.4
90,속초,1991-10,18.4
90,속초,1991-11,14.6
90,속초,1991-12,225.9
90,속초,1992-01,86.1
90,속초,1992-02,45.2
90,속초,1992-03,75.6
90,속초,1992-04,108.7
90,속초,1992-05,130.9
90,속초,1992-06,63.3
90,속초,1992-07,161
90,속초,1992-08,403.7
90,속초,1992-09,256.3
90,속초,1992-10,122.2
90,속초,1992-11,38.2
90,속초,1992-12,65.2
90,속초,1993-01,79
90,속초,1993-02,89.4
90,속초,1993-03,37.7
90,속초,1993-04,95.8
90,속초,1993-05,111.3
90,속초,1993-06,192.3
90,속초,1993-07,286.1
90,속초,1993-08,329.4
90,속초,1993-09,46.4
90,속초,1993-10,16
90,속초,1993-11,106.4
90,속초,1993-12,15.5
90,속초,1994-01,71.7
90,속초,1994-02,43.4
90,속초,1994-03,4.2
90,속초,1994-04,25.3
90,속초,1994-05,94.8
90,속초,1994-06,69.3
90,속초,1994-07,86.6
90,속초,1994-08,236.9
90,속초,1994-09,37.8
90,속초,1994-10,280.1
90,속초,1994-11,143.2
90,속초,1994-12,15.9
90,속초,1995-01,11
90,속초,1995-02,45
90,속초,1995-03,110.4
90,속초,1995-04,27.3
90,속초,1995-05,18.1
90,속초,1995-06,107
90,속초,1995-07,176.6
90,속초,1995-08,441.7
90,속초,1995-09,142.7
90,속초,1995-10,6.4
90,속초,1995-11,8.8
90,속초,1995-12,2.5
90,속초,1996-01,23.5
90,속초,1996-02,114.2
90,속초,1996-03,75.1
90,속초,1996-04,64.9
90,속초,1996-05,20.2
90,속초,1996-06,356.5
90,속초,1996-07,189.4
90,속초,1996-08,200
90,속초,1996-09,42
90,속초,1996-10,77.7
90,속초,1996-11,66
90,속초,1996-12,20.1
90,속초,1997-01,59.9
90,속초,1997-02,34.4
90,속초,1997-03,43.6
90,속초,1997-04,45.4
90,속초,1997-05,355.6
90,속초,1997-06,113
90,속초,1997-07,73.3
90,속초,1997-08,60.3
90,속초,1997-09,322.4
90,속초,1997-10,39.7
90,속초,1997-11,153.9
90,속초,1997-12,101
90,속초,1998-01,47.6
90,속초,1998-02,69
90,속초,1998-03,12.6
90,속초,1998-04,101.2
90,속초,1998-05,67.2
90,속초,1998-06,199
90,속초,1998-07,550.6
90,속초,1998-08,376.5
90,속초,1998-09,175
90,속초,1998-10,81.9
90,속초,1998-11,65.6
90,속초,1998-12,51.5
90,속초,1999-01,1.1
90,속초,1999-02,4.2
90,속초,1999-03,55.8
90,속초,1999-04,158.5
90,속초,1999-05,167.6
90,속초,1999-06,78.8
90,속초,1999-07,152.1
90,속초,1999-08,515.2
90,속초,1999-09,431.4
90,속초,1999-10,76.6
90,속초,1999-11,78.3
90,속초,1999-12,2.4
90,속초,2000-01,90.2
90,속초,2000-02,8.4
90,속초,2000-03,8.7
90,속초,2000-04,23.4
90,속초,2000-05,71
90,속초,2000-06,175.7
90,속초,2000-07,109.2
90,속초,2000-08,440.3
90,속초,2000-09,347.2
90,속초,2000-10,7
90,속초,2000-11,58.3
90,속초,2000-12,5.8
90,속초,2001-01,37.6
90,속초,2001-02,64.4
90,속초,2001-03,20.8
90,속초,2001-04,14.1
90,속초,2001-05,7.2
90,속초,2001-06,126.6
90,속초,2001-07,233.3
90,속초,2001-08,56.9
90,속초,2001-09,311.5
90,속초,2001-10,234.9
90,속초,2001-11,36.7
90,속초,2001-12,20.2
90,속초,2002-01,87.1
90,속초,2002-02,.6
90,속초,2002-03,14.1
90,속초,2002-04,58.5
90,속초,2002-05,78.2
90,속초,2002-06,66.5
90,속초,2002-07,301.4
90,속초,2002-08,531.2
90,속초,2002-09,225.9
90,속초,2002-10,42.8
90,속초,2002-11,4
90,속초,2002-12,140
90,속초,2003-01,34.7
90,속초,2003-02,63.6
90,속초,2003-03,56.8
90,속초,2003-04,136.1
90,속초,2003-05,111.5
90,속초,2003-06,132.1
90,속초,2003-07,258
90,속초,2003-08,349.2
90,속초,2003-09,425.4
90,속초,2003-10,51.6
90,속초,2003-11,278.2
90,속초,2003-12,1.8
90,속초,2004-01,25
90,속초,2004-02,26.7
90,속초,2004-03,1.8
90,속초,2004-04,104.4
90,속초,2004-05,46.7
90,속초,2004-06,99.7
90,속초,2004-07,554
90,속초,2004-08,460.3
90,속초,2004-09,200.1
90,속초,2004-10,16.9
90,속초,2004-11,39.5
90,속초,2004-12,12.2
90,속초,2005-01,28.4
90,속초,2005-02,52.4
90,속초,2005-03,102.5
90,속초,2005-04,47.9
90,속초,2005-05,122.7
90,속초,2005-06,151.2
90,속초,2005-07,185.2
90,속초,2005-08,246.9
90,속초,2005-09,263.9
90,속초,2005-10,114.8
90,속초,2005-11,32.9
90,속초,2005-12,.4
90,속초,2006-01,37.1
90,속초,2006-02,18.3
90,속초,2006-03,9.3
90,속초,2006-04,90.2
90,속초,2006-05,141.7
90,속초,2006-06,129
90,속초,2006-07,545
90,속초,2006-08,109.3
90,속초,2006-09,112.4
90,속초,2006-10,285.5
90,속초,2006-11,84
90,속초,2006-12,47.4
90,속초,2007-01,23.3
90,속초,2007-02,7.2
90,속초,2007-03,112.6
90,속초,2007-04,27.4
90,속초,2007-05,102.1
90,속초,2007-06,52.3
90,속초,2007-07,212.8
90,속초,2007-08,206.8
90,속초,2007-09,397.8
90,속초,2007-10,87.3
90,속초,2007-11,33.9
90,속초,2007-12,1.2
90,속초,2008-01,71.1
90,속초,2008-02,.6
90,속초,2008-03,103.9
90,속초,2008-04,13.5
90,속초,2008-05,70
90,속초,2008-06,91.3
90,속초,2008-07,361.6
90,속초,2008-08,343.1
90,속초,2008-09,129.9
90,속초,2008-10,73.5
90,속초,2008-11,78.5
90,속초,2008-12,78
90,속초,2009-01,29
90,속초,2009-02,27
90,속초,2009-03,83.2
90,속초,2009-04,111.2
90,속초,2009-05,50.5
90,속초,2009-06,181.1
90,속초,2009-07,405.2
90,속초,2009-08,247.3
90,속초,2009-09,20.5
90,속초,2009-10,29.8
90,속초,2009-11,220.6
90,속초,2009-12,14.7
90,속초,2010-01,41.5
90,속초,2010-02,113.5
90,속초,2010-03,152.1
90,속초,2010-04,51.6
90,속초,2010-05,149.5
90,속초,2010-06,18
90,속초,2010-07,92.8
90,속초,2010-08,274.4
90,속초,2010-09,272
90,속초,2010-10,86.5
90,속초,2010-11,12
90,속초,2010-12,19.7
90,속초,2011-01,12
90,속초,2011-02,105.6
90,속초,2011-03,20.4
90,속초,2011-04,115.7
90,속초,2011-05,65.3
90,속초,2011-06,341.5
90,속초,2011-07,412.1
90,속초,2011-08,140.3
90,속초,2011-09,190.1
90,속초,2011-10,22.1
90,속초,2011-11,131.3
90,속초,2011-12,99.7
90,속초,2012-01,24.2
90,속초,2012-02,22.7
90,속초,2012-03,85.3
90,속초,2012-04,133
90,속초,2012-05,46.1
90,속초,2012-06,76.2
90,속초,2012-07,244.3
90,속초,2012-08,212.5
90,속초,2012-09,233.5
90,속초,2012-10,25.6
90,속초,2012-11,70.1
90,속초,2012-12,44.2
90,속초,2013-01,77.3
90,속초,2013-02,16.1
90,속초,2013-03,66.2
90,속초,2013-04,49
90,속초,2013-05,80.1
90,속초,2013-06,32
90,속초,2013-07,292.7
90,속초,2013-08,174.6
90,속초,2013-09,175.3
90,속초,2013-10,66.4
90,속초,2013-11,23.3
90,속초,2013-12,62.7
90,속초,2014-01,29.3
90,속초,2014-02,168.2
90,속초,2014-03,40.4
90,속초,2014-04,98.8
90,속초,2014-05,25
90,속초,2014-06,41.9
90,속초,2014-07,126.9
90,속초,2014-08,296.1
90,속초,2014-09,181
90,속초,2014-10,39.6
90,속초,2014-11,51.6
90,속초,2014-12,.2
90,속초,2015-01,8.7
90,속초,2015-02,32.1
90,속초,2015-03,8
90,속초,2015-04,74.2
90,속초,2015-05,9.2
90,속초,2015-06,127.7
90,속초,2015-07,163.1
90,속초,2015-08,198.6
90,속초,2015-09,13.5
90,속초,2015-10,27.4
90,속초,2015-11,463.5
90,속초,2015-12,1.7
90,속초,2016-01,6.6
90,속초,2016-02,38.3
90,속초,2016-03,31.8
90,속초,2016-04,77.5
90,속초,2016-05,35.7
90,속초,2016-06,62.2
90,속초,2016-07,477.8
90,속초,2016-08,186.9
90,속초,2016-09,126
90,속초,2016-10,128.5
90,속초,2016-11,40.8
90,속초,2016-12,121.7
90,속초,2017-01,82.4
90,속초,2017-02,3.2
90,속초,2017-03,48.7
90,속초,2017-04,46.8
90,속초,2017-05,25.2
90,속초,2017-06,69.7
90,속초,2017-07,270.3
90,속초,2017-08,424.9
90,속초,2017-09,50.5
90,속초,2017-10,135.4
90,속초,2017-11,41.2
90,속초,2017-12,9.9
90,속초,2018-01,3.9
90,속초,2018-02,54.4
90,속초,2018-03,55
90,속초,2018-04,141.7
90,속초,2018-05,123.6
90,속초,2018-06,46.5
90,속초,2018-07,185.4
90,속초,2018-08,625
90,속초,2018-09,66.1
90,속초,2018-10,257.6
90,속초,2018-11,207.4
90,속초,2018-12,10.4
90,속초,2019-01,8.7
90,속초,2019-02,27.6
90,속초,2019-03,44.4
90,속초,2019-04,80.9
90,속초,2019-05,5.7
90,속초,2019-06,97.8
90,속초,2019-07,234.4
90,속초,2019-08,293.5
90,속초,2019-09,209.9
90,속초,2019-10,185.5
90,속초,2019-11,157.3
90,속초,2019-12,9.8
90,속초,2020-01,148.1
90,속초,2020-02,55.8
